主編碼,屬性,詞目,音讀,文白,部首
347,1,大使,tāi-sài,0,
348,1,小事,sió-sū,0,
349,1,小使,siáu-sú,0,
350,1,工事,kang-sū,0,
351,1,女兒,lú-jî/lú-lî,0,
352,1,小叔,sió-tsik,0,
353,1,小管仔,sió-kńg-á,0,
354,1,小兒科,sió-jî-kho/sió-lî-kho,0,
355,1,小兒麻痺,sió-jî-bâ-pì/sió-lî-bâ-pì,0,
356,1,山坪,suann-phiânn,0,
357,1,丈姆,tiūnn-ḿ,0,
358,1,大姆,tuā-ḿ,0,
359,1,大姊,tuā-tsí,0,
360,1,大姑,tuā-koo,0,
361,1,小妹,sió-muē/sió-bē,0,
362,1,小姐,sió-tsiá,0,
363,1,小姑,sió-koo,0,
364,1,丈姆婆,tiūnn-ḿ-pô,0,
365,1,下底,ē-té/ē-tué,0,
366,1,大官,ta-kuann,0,
367,1,大官虎,tuā-kuann-hóo,0,
368,1,土性,thóo-sìng,0,
369,1,下性命,hē-sènn-miā/hē-sìnn-miā,0,
370,1,大房,tuā-pâng,0,
371,1,大拖,tuā-thua,0,
372,1,下昏,e-hng,0,
373,1,山東白仔,suann-tang-pe̍h-á,0,
374,1,下昏暗,e-hng-àm,0,
375,1,乞的,khit--ê,0,
376,1,土直,thóo-ti̍t,0,
377,1,三肢手,sann-ki-tshiú,0,
378,1,久長,kú-tn̂g,0,
379,1,千金,tshian-kim,0,
380,1,三長兩短,sann-tn̂g-nn̄g-té,0,
381,1,上青苔,tshiūnn-tshenn-thî/tshiūnn-tshinn-thî,0,
382,1,久長病,kú-tn̂g-pēnn/kú-tn̂g-pīnn,0,
383,1,千金譜,tshian-kim-phóo,0,
384,1,大便,tāi-piān,0,
385,1,大前年,tuā-tsûn--nî,0,
386,1,大姨,tuā-î,0,
387,1,上帝,Siōng-tè,0,
388,1,上帝公,Siōng-tè-kong,0,
389,1,三思,sàm-su,0,
390,1,大後日,tuā-āu--ji̍t/tuā-āu--li̍t,0,
391,1,大後年,tuā-āu--nî,0,
392,1,山後鳥,suann-āu-tsiáu,0,
393,1,也是,iā-sī,0,
394,1,才是,tsiah-sī,0,
395,1,大昨日,tuā-tso̍h--ji̍t/tuā-tso̍h--li̍t,0,
396,1,大某,tuā-bóo,0,
397,1,山洞,suann-tōng,0,
398,1,三牲,sam-sing,0,
399,1,三界公,Sam-kài-kong,0,
400,1,三界娘仔,sam-kài-niû-á,0,
401,1,山珍海味,san-tin-hái-bī,0,
402,1,山苳蒿,suann-tang-o,0,
403,1,低音,kē-im,0,
404,1,乞食,khit-tsia̍h,0,
405,1,口面,kháu-bīn,0,
406,1,口音,kháu-im,0,
407,1,乞食命,khit-tsia̍h-miā,0,
408,1,大面神,tuā-bīn-sîn,0,
409,1,乞食琴,khit-tsia̍h-khîm,0,
410,1,乞食頭,khit-tsia̍h-thâu,0,
411,1,土匪,thóo-huí,0,
412,1,大厝,tuā-tshù,0,
413,1,大哥,tuā-ko,0,
414,1,低厝仔,kē-tshù-á,0,
415,1,大娘姑,tuā-niû-koo,0,
416,1,口座,kháu-tsō,0,
417,1,土師,thóo-sai,0,
418,1,大孫,tuā-sun,0,
419,1,大家,ta-ke,0,
420,1,子宮,tsú-kiong,0,
421,1,山崁,suann-khàm,0,
422,1,大家口,tuā-ke-kháu,0,
423,1,大家官,ta-ke-kuann,0,
424,1,子時,tsú-sî,0,
425,1,上桌,tsiūnn-toh,0,
426,1,口氣,kháu-khì,0,
427,1,大氣,tāi-khì,0,
428,1,大氣,tuā-khuì,0,
429,1,大氣喘,tuā-khuì-tshuán,0,
430,1,干涉,kan-sia̍p,0,
431,1,低級,kē-kip,0,
432,1,大陣,tuā tīn,0,
433,1,小鬼仔殼,siáu-kuí-á-khak,0,
434,1,三除四扣,sann-tû-sì-khàu,0,
435,1,上崎,tsiūnn-kiā,0,
436,1,山崙,suann-lūn,0,
437,1,才情,tsâi-tsîng,0,
438,1,三教,sam-kàu,0,
439,1,下晝,ē-tàu,0,
440,1,下晡,ē-poo,0,
441,1,小票,sió-phiò,0,
442,1,三絃,sam-hiân,0,
443,1,大細,tuā-sè/tuā-suè,0,
444,1,大細心,tuā-sè-sim/tuā-suè-sim,0,
445,1,大細目,tuā-sè-ba̍k/tuā-suè-ba̍k,0,
446,1,山頂,suann-tíng,0,
447,1,工場,kang-tiûnn,0,
448,1,大富,tuā-pù,0,
449,1,大寒,tuā-kuânn,0,
450,1,大富大貴,tuā-hù-tuā-kuì,0,
451,1,大摒掃,tuā-piànn-sàu,0,
452,1,上殕,tshiūnn-phú,0,
453,1,下港,ē-káng,0,
454,1,大港,tuā-káng,0,
455,1,大湧,tuā-íng,0,
456,1,干焦,kan-na,0,
457,1,下痟,hā-siau,0,
458,1,口琴,kháu-khîm,0,
459,1,工程,kang-tîng,0,
460,1,工程師,kang-tîng-su,0,
461,1,上等,siōng-tíng,0,
462,1,大筒,tuā-tâng,0,
463,1,小等,sió-tán,0,
464,1,土菝仔,thóo-pua̍t-á,0,
465,1,上訴,siōng-sòo,0,
467,1,大量,tāi-liōng,0,
468,1,弓開,king--khui,0,
469,1,凡勢,huān-sè,0,
470,1,山勢,suann-sè,0,
471,1,土想,thóo-siūnn,0,
472,1,下暗,e-àm,0,
473,1,工會,kang-huē,0,
474,1,工業,kang-gia̍p,0,
475,1,才會,tsiah ē,0,
476,1,山溝,suann-kau,0,
477,1,山盟海誓,san-bîng-hái-sè,0,
478,1,下落,hē-lo̍h,0,
479,1,千萬,tshian-bān,0,
480,1,大腸,tuā-tn̂g,0,
481,1,大舅,tuā-kū,0,
482,1,小腸,sió-tn̂g,0,
483,1,山腰,suann-io,0,
484,1,大腹肚,tuā-pak-tóo,0,
485,1,口試,kháu-tshì,0,
486,1,下跤,ē-kha,0,
487,1,土話,thóo-uē,0,
488,1,大話,tuā-uē,0,
489,1,山貉,suann-hô,0,
490,1,山賊,suann-tsha̍t,0,
491,1,山跤,suann-kha,0,
492,1,下跤手人,ē-kha-tshiú-lâng,0,
493,1,大跤胴,tuā-kha-tâng,0,
494,1,三跤馬,sann-kha-bé,0,
495,1,三跤貓,sann-kha-niau,0,
496,1,低路,kē-lōo,0,
497,1,大路,tuā-lōo,0,
498,1,小路,sió-lōo,0,
499,1,大道公,Tāi-tō-kong,0,
500,1,三頓,sann tǹg,0,
501,1,山雺,suann-bông,0,
502,1,大鼓,tuā-kóo,0,
503,1,大壽,tuā-siū,0,
504,1,大漢,tuā-hàn,0,
505,1,大箍,tuā-khoo,0,
506,1,大箍呆,tuā-khoo-tai,0,
507,1,上緊,siōng kín,0,
508,1,大腿,tuā-thuí,0,
509,1,大腿骨,tuā-thuí-kut,0,
510,1,上蓋,siōng-kài,0,
511,1,小說,sió-suat,0,
512,1,大銀,tuā-gîn/tuā-gûn,0,
513,1,小銀,sió-gîn/sió-gûn,0,
514,1,亡魂,bông-hûn,0,
515,1,大餅,tuā-piánn,0,
516,1,三層,sam-tsân,0,
517,1,工寮,kang-liâu,0,
518,1,工廠,kang-tshiúnn,0,
519,1,三層肉,sam-tsân-bah,0,
520,1,大廣絃,tuā-kóng-hiân,0,
521,1,小數,sió-sòo,0,
522,1,干樂,kan-lo̍k,0,
523,1,大熱,tuā-jua̍h/tuā-lua̍h,0,
524,1,大範,tuā-pān,0,
525,1,山線,suann-suànn,0,
526,1,三線路,sam-suànn-lōo,0,
527,1,上課,siōng-khò,0,
528,1,工課,khang-khuè,0,
529,1,才調,tsâi-tiāu,0,
530,1,大賣,tuā-bē/tuā-buē,0,
531,1,小賣,sió-bē/sió-buē,0,
532,1,山豬,suann-ti/suann-tu,0,
533,1,下輩,ē-puè,0,
534,1,三輪車,sann-lián-tshia,0,
535,1,下頦,ē-hâi,0,
536,1,大學,tāi-ha̍k,0,
537,1,小學,sió-ha̍k,0,
538,1,弓蕉,king-tsio,0,
539,1,弓蕉油,king-tsio-iû,0,
540,1,山貓,suann-niau,0,
541,1,口頭,kháu-thâu,0,
542,1,山頭,suann-thâu,0,
543,1,工頭,kang-thâu,0,
544,1,上頭仔,siōng-thâu-á,0,
545,1,大頭拇,tuā-thâu-bú,0,
546,1,大頷胿,tuā-ām-kui,0,
547,1,大頭菜,tuā-thâu-tshài,0,
548,1,大戲,tuā-hì,0,
549,1,山嶺,suann-niá,0,
550,1,土檨仔,thóo-suāinn-á,0,
551,1,上濟,siōng tsē/siōng tsuē,0,
552,1,上聲,sióng-siann,0,
553,1,大聲,tuā-siann,0,
554,1,大膽,tuā-tánn,0,
555,1,大聲話,tuā-siann-uē,0,
556,1,下擺,ē-pái,0,
557,1,小嬸,sió-tsím,0,
558,1,土雞仔,thóo-ke-á/thóo-kue-á,0,
559,1,下顎,ē-kok,0,
560,1,工藝,kang-gē,0,
561,1,下願,hē-guān,0,
562,1,大龐,tuā-phiāng,0,
563,1,大麵,tuā-mī,0,
564,1,大欉,tuā-tsâng,0,
565,1,大廳,tuā-thiann,0,
566,1,不,put,0,一
567,1,丑,thiú,0,一
568,1,中,tìng,2,｜
569,1,中,tiong,1,｜
570,1,中,tiòng,1,｜
571,1,丹,tan,0,丶
572,1,之,tsi,0,丿
573,1,予,hōo,0,亅
574,1,五,gōo,2,二
575,1,五,ngóo,1,二
576,1,井,tsénn/tsínn,2,二
577,1,仁,jîn/lîn,0,人
578,1,仄,tseh,0,人
579,1,仆,phak,0,人
580,1,仇,siû,0,人
581,1,今,tann,4,人
582,1,允,ín/ún,0,儿
583,1,內,lāi,2,入
584,1,內,luē,1,入
585,1,公,kang,2,八
586,1,公,kong,1,八
587,1,六,la̍k,2,八
588,1,六,lio̍k,1,八
589,1,冇,phànn,4,一
590,1,冗,līng,0,冖
591,1,冗,liōng,0,冖
592,1,凶,hiong,0,凵
593,1,分,hun,1,刀
594,1,分,pun,2,刀
595,1,切,tshiat,0,刀
596,1,勻,ûn,4,勹
597,1,勼,kiu,2,勹
598,1,勾,kau,0,勹
599,1,內䘥仔,lāi-kah-á,0,
600,1,中人,tiong-lâng,0,
601,1,允人,ín--lâng/ún--lâng,0,
602,1,不才,put-tsâi,0,
603,1,內山,lāi-suann,0,
604,1,內才,lāi-tsâi,0,
605,1,分寸,hun-tshùn,0,
606,1,不三不四,put-sam-put-sù,0,
607,1,不仁,put-jîn/put-lîn,0,
608,1,中元,Tiong-guân,0,
609,1,五仁,ngóo-jîn/ngóo-lîn,0,
610,1,仁丹,jîn-tan/lîn-tan,0,
611,1,內公,lāi-kong,0,
612,1,公元,kong-guân,0,
613,1,公分,kong-pun,0,
614,1,公分,kong-hun,0,
615,1,勻勻仔,ûn-ûn-á,0,
616,1,勻勻仔火,ûn-ûn-á-hué/ûn-ûn-á-hé,0,
617,1,五分仔車,gōo-hun-á-tshia,0,
618,1,不中用,put-tiòng-iōng,0,
619,1,五分車,gōo-hun-tshia,0,
620,1,不止,put-tsí,0,
621,1,中心,tiong-sim,0,
622,1,井水,tsénn-tsuí/tsínn-tsuí,0,
623,1,內心,luē-sim,0,
624,1,公文,kong-bûn,0,
625,1,公斤,kong-kin/kong-kun,0,
626,1,冇手,phànn-tshiú,0,
627,1,切手,tshiat-tshiú,0,
628,1,勼手,kiu-tshiú,0,
629,1,勼水,kiu-tsuí,0,
630,1,勾引,kau-ín,0,
631,1,六月天,la̍k-gue̍h-thinn/la̍k-ge̍h-thinn,0,
632,1,不止仔,put-tsí-á,0,
633,1,六月冬,la̍k-gue̍h-tang/la̍k-ge̍h-tang,0,
634,1,五日節,Gōo-ji̍t-tseh/Gōo-li̍t-tsueh,0,
635,1,五月節,Gōo-gue̍h-tseh/Gōo-ge̍h-tsueh,0,
636,1,丑仔,thiú-á,0,
637,1,今仔,tann-á,0,
638,1,今仔日,kin-á-ji̍t/kin-á-li̍t,0,
639,1,勻仔是,ûn-á-sī,0,
640,1,中古,tiong-kóo,0,
641,1,內外,lāi-guā,0,
642,1,五加皮,ngóo-ka-pî,0,
643,1,內奶,lāi-ling/lāi-ni,0,
644,1,公平,kong-pênn/kong-pînn,0,
645,1,公母,kang-bó,0,
646,1,公民,kong-bîn,0,
647,1,中用,tiòng-iōng,0,
648,1,中立,tiong-li̍p,0,
649,1,丹田,tan-tiân,0,
650,1,公用,kong-iōng,0,
651,1,冇石仔,phànn-tsio̍h-á,0,
652,1,予伊,hōo i,0,
653,1,介在,kài-tsāi,0,
654,1,公共,kong-kiōng,0,
655,1,六合,lio̍k-ha̍p,0,
656,1,今年,kin-nî,0,
657,1,內地,lāi-tē/lāi-tuē,0,
658,1,凶年,hiong-nî,0,
659,1,中旬,tiong-sûn,0,
660,1,冗早,liōng-tsá,0,
661,1,不死鬼,put-sú-kuí,0,
662,1,內行,lāi-hâng,0,
663,1,內行的,lāi-hâng--ê,0,
664,1,不而過,put-jî-kò/put-lî-kò,0,
665,1,不但,put-tān,0,
666,1,分伻,pun-phenn,0,
667,1,分別,hun-pia̍t,0,
668,1,不孝,put-hàu,0,
669,1,不求人,put-kiû-jîn/put-kiû-lîn,0,
670,1,公里,kong-lí,0,
671,1,分身,hun-sin,0,
672,1,公事,kong-sū,0,
673,1,中和,tiong-hô,0,
674,1,內底,lāi-té/lāi-tué,0,
